id;year;day;min;glo_avg;dir_avg;diff_avg;lw_avg;par_avg;lux_avg;tp_sfc;humid;press;rain;ws_10m;wd_10m
10;2019;91;81;-0.707;-0.450;-0.943;354.3;0;0;20.50;82.00;898.62;0;0;0
10;2019;91;82;-0.932;-0.450;-1.060;354.1;0;0;20.83;82.20;898.62;0;0;0
10;2019;91;83;-1.046;-0.450;-1.168;354.2;0;0;20.53;82.30;898.54;0;0.002;291.3
10;2019;91;84;-1.046;-0.450;-1.204;354.1;0;0;20.62;82.60;898.62;0;0.001;291.3
10;2019;91;85;-1.034;-0.450;-1.217;354.1;0;0;20.58;82.90;898.54;0;0.131;241.7
10;2019;91;86;-1.005;-0.450;-1.249;354.1;0;0;20.75;83.20;898.62;0;0.182;235.2
10;2019;91;87;-1.046;-0.450;-1.251;353.8;0;0;20.83;83.60;898.54;0;0.302;235.0
10;2019;91;88;-1.049;-0.450;-1.254;353.5;0;0;20.63;83.70;898.62;0;0.248;234.8
10;2019;91;89;-1.052;-0.450;-1.254;353.6;0;0;20.66;84.00;898.62;0;0.231;234.8
10;2019;91;90;-1.020;-0.450;-1.254;353.6;0;0;20.76;84.20;898.62;0;0.223;234.8
10;2019;91;91;-0.903;-0.450;-1.254;353.5;0;0;20.60;84.40;898.54;0;0.275;234.9
10;2019;91;92;-1.014;-0.450;-1.254;353.5;0;0;20.40;84.60;898.62;0;0.397;234.8
10;2019;91;93;-0.882;-0.450;-1.254;353.5;0;0;20.71;84.70;898.62;0;0.512;227.6
10;2019;91;94;-0.704;-0.450;-1.254;353.3;0;0;20.71;84.80;898.62;0;0.539;224.5
10;2019;91;95;-0.616;-0.450;-1.241;353.2;0;0;20.71;84.90;898.62;0;0.628;218.9
10;2019;91;96;-0.386;-0.450;-1.162;353.5;0;0;20.12;84.90;898.70;0;0.432;213.7
10;2019;91;97;-0.351;-0.450;-1.094;353.9;0;0;20.70;84.90;898.70;0;0.244;213.4
10;2019;91;98;-0.348;-0.450;-1.053;354.2;0;0;20.20;84.90;898.78;0;0.116;214.3
10;2019;91;99;-0.435;-0.450;-1.047;354.1;0;0;20.24;84.90;898.78;0;0.098;214.3
10;2019;91;100;-0.669;-0.450;-1.128;354.1;0;0;20.42;84.90;898.78;0;0.243;222.9
10;2019;91;101;-0.701;-0.450;-1.201;354.2;0;0;20.24;84.90;898.78;0;0.202;222.3
10;2019;91;102;-0.698;-0.450;-1.157;354.0;0;0;20.27;84.80;898.70;0;0.245;216.2
10;2019;91;103;-0.724;-0.450;-1.181;354.2;0;0;20.19;85.00;898.70;0;0.279;203.4
10;2019;91;104;-0.973;-0.450;-1.249;354.2;0;0;20.11;85.20;898.62;0;0.229;192.4
10;2019;91;105;-0.955;-0.450;-1.254;353.7;0;0;20.25;85.40;898.62;0;0.263;192.1
10;2019;91;106;-0.724;-0.450;-1.233;353.5;0;0;20.35;85.60;898.62;0;0.369;191.1
10;2019;91;107;-0.722;-0.450;-1.199;353.9;0;0;19.81;85.60;898.62;0;0.321;186.5
10;2019;91;108;-1.031;-0.379;-1.249;354.0;0;0;20.25;85.70;898.62;0;0.365;185.6
10;2019;91;109;-1.052;-0.450;-1.249;354.2;0;0;20.02;85.70;898.62;0;0.341;185.2
10;2019;91;110;-1.052;-0.450;-1.251;354.0;0;0;20.14;85.80;898.62;0;0.342;185.2
10;2019;91;111;-1.049;-0.450;-1.254;353.8;0;0;19.79;85.70;898.62;0;0.477;187.6
10;2019;91;112;-1.040;-0.446;-1.251;354.2;0;0;19.84;85.90;898.62;0;0.547;193.7
10;2019;91;113;-1.022;-0.420;-1.251;354.6;0;0;20.14;85.90;898.62;0;0.562;195.2
10;2019;91;114;-1.107;-0.352;-1.254;355.3;0;0;19.81;86.00;898.62;0;0.611;192.7
10;2019;91;115;-1.978;0.120;-1.290;355.7;0;0;19.91;86.10;898.62;0;0.654;191.7
10;2019;91;116;-2.477;0.244;-1.538;355.7;0;0;20.22;86.30;898.62;0;0.701;185.8
10;2019;91;117;-2.734;0.232;-1.567;355.4;0;0;19.89;86.40;898.70;0;0.624;186.1
10;2019;91;118;-2.965;0.375;-1.567;355.8;0;0;20.16;86.50;898.62;0;0.490;192.5
10;2019;91;119;-3.062;0.360;-1.593;355.3;0;0;19.97;86.30;898.70;0;0.513;203.6
10;2019;91;120;-2.650;0.060;-1.578;354.7;0;0;19.99;86.10;898.62;0;0.539;184.9
10;2019;91;121;-2.121;0;-1.567;355.3;0;0;20.14;85.90;898.62;0;0.610;190.6
10;2019;91;122;-2.197;0.270;-1.567;355.4;0;0;20.35;85.60;898.62;0;0.458;179.7
10;2019;91;123;-2.489;0.379;-1.585;355.4;0;0;20.17;85.30;898.54;0;0.388;187.8
10;2019;91;124;-2.328;0.176;-1.583;354.8;0;0;20.30;85.10;898.62;0;0.493;171.7
10;2019;91;125;-1.791;0;-1.567;354.7;0;0;20.45;85.00;898.62;0;0.431;168.6
10;2019;91;126;-1.756;0.030;-1.567;355.2;0;0;20.52;84.80;898.62;0;0.350;149.5
10;2019;91;127;-2.203;0.244;-1.567;355.3;0;0;20.60;84.70;898.55;0;0.457;179.7
10;2019;91;128;-1.580;-0.135;-1.567;354.4;0;0;20.34;84.50;898.55;0;0.481;188.3
10;2019;91;129;-0.976;-0.146;-1.557;354.6;0;0;20.24;84.40;898.47;0;0.540;176.3
10;2019;91;130;-1.575;0.210;-1.567;355.3;0;0;20.30;84.20;898.47;0;0.617;180.9
10;2019;91;131;-1.443;0.022;-1.567;355.6;0;0;20.70;84.30;898.47;0;0.665;172.4
10;2019;91;132;-1.610;0.064;-1.567;354.8;0;0;20.80;84.30;898.55;0;0.542;175.9
10;2019;91;133;-1.659;0;-1.567;355.2;0;0;20.47;84.30;898.47;0;0.584;171.2
10;2019;91;134;-1.779;0.067;-1.567;355.4;0;0;20.70;84.10;898.55;0;0.587;170.0
10;2019;91;135;-1.893;0.037;-1.567;355.6;0;0;20.45;84.10;898.47;0;0.537;171.1
10;2019;91;136;-1.805;0;-1.567;355.5;0;0;20.71;84.00;898.47;0;0.483;175.3
10;2019;91;137;-1.773;0;-1.567;355.4;0;0;20.48;83.90;898.47;0;0.489;172.4
10;2019;91;138;-1.893;0;-1.567;355.4;0;0;20.78;83.70;898.55;0;0.494;174.8
10;2019;91;139;-1.747;0;-1.567;355.5;0;0;20.70;83.60;898.55;0;0.512;174.1
10;2019;91;140;-1.469;-0.011;-1.567;355.2;0;0;20.58;83.30;898.47;0;0.486;173.8
10;2019;91;141;-1.355;-0.049;-1.567;355.2;0;0;20.89;83.20;898.47;0;0.539;177.5
10;2019;91;142;-1.107;-0.097;-1.565;355.3;0;0;20.55;83.10;898.47;0;0.645;180.3
10;2019;91;143;-1.297;0;-1.565;355.3;0;0;20.73;83.00;898.47;0;0.602;177.0
10;2019;91;144;-1.370;-0.011;-1.557;355.1;0;0;20.85;83.00;898.47;0;0.608;176.2
10;2019;91;145;-0.882;-0.334;-1.434;354.4;0;0;20.66;82.90;898.47;0;0.598;176.1
10;2019;91;146;-0.275;-0.454;-1.256;354.7;0;0;20.96;83.00;898.47;0;0.619;166.7
10;2019;91;147;-0.684;-0.112;-1.254;355.1;0;0;20.88;83.00;898.47;0;0.796;174.7
10;2019;91;148;-1.329;0.075;-1.369;355.2;0;0;20.55;83.00;898.39;0;0.832;176.3
10;2019;91;149;-1.361;-0.086;-1.418;354.8;0;0;20.55;83.10;898.47;0;0.801;175.4
10;2019;91;150;-1.659;-0.004;-1.494;355.1;0;0;20.80;83.10;898.47;0;0.780;178.4
10;2019;91;151;-1.861;0;-1.567;354.8;0;0;20.55;83.10;898.47;0;0.893;182.0
10;2019;91;152;-2.033;0.004;-1.567;354.8;0;0;20.76;82.90;898.47;0;0.847;183.9
10;2019;91;153;-2.077;0.079;-1.567;355.0;0;0;20.89;82.70;898.47;0;0.886;185.2
10;2019;91;154;-2.124;0.034;-1.567;354.6;0;0;20.71;82.40;898.39;0;0.826;181.0
10;2019;91;155;-1.764;-0.184;-1.567;354.6;0;0;20.75;82.10;898.46;0;0.814;189.3
10;2019;91;156;-1.662;-0.086;-1.567;354.5;0;0;20.96;81.80;898.39;0;0.851;187.9
10;2019;91;157;-1.639;-0.030;-1.567;354.6;0;0;20.88;81.50;898.39;0;0.963;188.6
10;2019;91;158;-1.665;-0.067;-1.567;354.4;0;0;20.80;81.30;898.39;0;0.780;189.4
10;2019;91;159;-1.379;-0.319;-1.567;354.3;0;0;20.94;81.20;898.39;0;0.693;186.8
10;2019;91;160;-1.204;-0.345;-1.565;354.2;0;0;21.19;81.10;898.39;0;0.732;193.3
10;2019;91;161;-1.157;-0.172;-1.567;354.3;0;0;21.17;80.90;898.39;0;0.943;199.6
10;2019;91;162;-1.122;-0.180;-1.565;354.2;0;0;21.11;80.80;898.39;0;0.941;198.1
10;2019;91;163;-1.063;-0.225;-1.549;354.1;0;0;20.71;80.80;898.31;0;1.064;194.9
10;2019;91;164;-1.312;-0.007;-1.567;354.2;0;0;20.86;80.80;898.31;0;0.997;195.4
10;2019;91;165;-1.189;-0.124;-1.546;354.0;0;0;21.14;80.70;898.31;0;1.110;195.3
10;2019;91;166;-1.151;-0.109;-1.512;354.1;0;0;20.80;80.60;898.31;0;1.067;197.1
10;2019;91;167;-1.052;-0.285;-1.457;353.9;0;0;20.91;80.60;898.31;0;1.034;200.0
10;2019;91;168;-0.911;-0.341;-1.356;353.8;0;0;21.12;80.60;898.31;0;0.935;196.0
10;2019;91;169;-0.984;-0.191;-1.327;354.0;0;0;21.09;80.40;898.31;0;0.861;191.8
10;2019;91;170;-1.058;-0.169;-1.366;353.7;0;0;20.91;80.40;898.31;0;0.704;191.9
10;2019;91;171;-1.131;-0.236;-1.379;354.2;0;0;21.16;80.40;898.31;0;0.820;183.4
